CurTime,logDuration,capVoltage,timesinceMovement,timePresent,personPresent
18:33:52,0:0:0,0.63,0.0,0.0,0
18:33:53,0:0:0,0.63,0.0,0.0,0
18:33:53,0:0:0,0.63,0.0,0.0,0
18:33:54,0:0:1,0.63,0.0,0.02,1
18:33:54,0:0:1,0.63,0.0,0.02,1
18:33:55,0:0:2,0.63,0.0,0.03,1
18:33:55,0:0:2,0.63,0.0,0.03,1
18:33:56,0:0:3,0.62,0.0,0.05,1
18:33:56,0:0:3,0.62,0.0,0.05,1
18:33:57,0:0:4,0.62,0.0,0.07,1
18:33:57,0:0:4,0.62,0.0,0.07,1
18:33:58,0:0:5,0.62,0.0,0.08,1
18:33:58,0:0:5,0.61,0.0,0.08,1
18:33:59,0:0:6,0.61,0.0,0.1,1
18:33:59,0:0:6,0.61,0.0,0.1,1
18:34:00,0:0:7,0.61,0.0,0.12,1
18:34:00,0:0:7,0.61,0.0,0.12,1
18:34:01,0:0:8,0.6,0.0,0.13,1
18:34:01,0:0:8,0.6,0.0,0.13,1
18:34:02,0:0:9,0.6,0.0,0.15,1
18:34:02,0:0:9,0.6,0.0,0.15,1
18:34:03,0:0:10,0.6,0.0,0.17,1
18:34:03,0:0:10,0.59,0.0,0.17,1
18:34:04,0:0:11,0.6,0.0,0.18,1
18:34:04,0:0:11,0.59,0.0,0.18,1
18:34:05,0:0:12,0.59,0.0,0.2,1
18:34:05,0:0:12,0.59,0.0,0.2,1
18:34:06,0:0:13,0.59,0.0,0.22,1
18:34:06,0:0:13,0.59,0.0,0.22,1
18:34:07,0:0:14,0.58,0.0,0.23,1
18:34:07,0:0:14,0.58,0.0,0.23,1
18:34:08,0:0:15,0.58,0.0,0.25,1
18:34:08,0:0:15,0.58,0.0,0.25,1
18:34:09,0:0:16,0.58,0.01,0.27,1
18:34:09,0:0:16,0.58,0.01,0.27,1
18:34:10,0:0:17,0.57,0.01,0.28,1
18:34:10,0:0:17,0.57,0.01,0.28,1
18:34:11,0:0:18,0.57,0.01,0.3,1
18:34:11,0:0:18,0.57,0.01,0.3,1
18:34:12,0:0:19,0.57,0.01,0.32,1
18:34:12,0:0:19,0.57,0.01,0.32,1
18:34:13,0:0:20,0.57,0.01,0.33,1
18:34:13,0:0:20,0.56,0.01,0.33,1
18:34:14,0:0:21,0.56,0.01,0.35,1
18:34:14,0:0:21,0.56,0.01,0.35,1
18:34:15,0:0:22,0.56,0.01,0.37,1
18:34:15,0:0:22,0.56,0.01,0.37,1
18:34:16,0:0:23,0.56,0.01,0.38,1
18:34:16,0:0:23,0.55,0.01,0.38,1
18:34:17,0:0:24,0.55,0.01,0.38,1
18:34:17,0:0:24,0.55,0.0,0.4,1
18:34:18,0:0:25,0.55,0.0,0.4,1
18:34:18,0:0:25,0.55,0.0,0.42,1
18:34:19,0:0:26,0.55,0.0,0.42,1
18:34:19,0:0:26,0.55,0.0,0.43,1
18:34:20,0:0:27,0.54,0.0,0.43,1
18:34:20,0:0:27,0.54,0.0,0.45,1
18:34:21,0:0:28,0.54,0.0,0.45,1
18:34:21,0:0:28,0.54,0.0,0.47,1
18:34:22,0:0:29,0.54,0.0,0.47,1
18:34:22,0:0:29,0.53,0.0,0.48,1
18:34:23,0:0:30,0.53,0.0,0.48,1
18:34:23,0:0:30,0.53,0.0,0.5,1
18:34:24,0:0:31,0.53,0.0,0.5,1
18:34:24,0:0:31,0.53,0.0,0.52,1
18:34:25,0:0:32,0.53,0.0,0.52,1
18:34:25,0:0:32,0.53,0.0,0.53,1
18:34:25,0:0:33,0.53,0.0,0.53,1
18:34:26,0:0:33,0.52,0.0,0.55,1
18:34:26,0:0:34,0.52,0.0,0.55,1
18:34:27,0:0:34,0.52,0.0,0.57,1
18:34:27,0:0:35,0.52,0.0,0.57,1
18:34:28,0:0:35,0.52,0.0,0.58,1
18:34:28,0:0:36,0.52,0.0,0.58,1
18:34:29,0:0:36,0.51,0.01,0.6,1
18:34:29,0:0:37,0.51,0.01,0.6,1
18:34:30,0:0:37,0.51,0.01,0.62,1
18:34:30,0:0:38,0.51,0.01,0.62,1
18:34:31,0:0:38,0.51,0.01,0.63,1
18:34:31,0:0:39,0.51,0.01,0.63,1
18:34:32,0:0:39,0.51,0.01,0.65,1
18:34:32,0:0:40,0.51,0.01,0.65,1
18:34:33,0:0:40,0.5,0.01,0.67,1
18:34:33,0:0:41,0.5,0.01,0.67,1
18:34:34,0:0:41,0.5,0.01,0.68,1
18:34:34,0:0:42,0.5,0.01,0.68,1
18:34:35,0:0:42,0.5,0.01,0.7,1
18:34:35,0:0:43,0.5,0.01,0.7,1
18:34:36,0:0:43,0.5,0.01,0.72,1
18:34:36,0:0:44,0.49,0.01,0.72,1
18:34:37,0:0:44,0.49,0.01,0.73,1
18:34:37,0:0:45,0.49,0.01,0.73,1
18:34:38,0:0:45,0.49,0.01,0.73,1
18:34:38,0:0:46,0.49,0.0,0.75,1
18:34:39,0:0:46,0.49,0.0,0.75,1
18:34:39,0:0:47,0.48,0.0,0.77,1
18:34:40,0:0:47,0.48,0.0,0.77,1
18:34:40,0:0:48,0.48,0.0,0.78,1
18:34:41,0:0:48,0.48,0.0,0.78,1
18:34:41,0:0:49,0.48,0.0,0.8,1
18:34:42,0:0:49,0.48,0.0,0.8,1
18:34:42,0:0:50,0.48,0.0,0.82,1
18:34:43,0:0:50,0.48,0.0,0.82,1
18:34:43,0:0:51,0.47,0.0,0.83,1
18:34:44,0:0:51,0.47,0.0,0.83,1
18:34:44,0:0:52,0.47,0.0,0.85,1
18:34:45,0:0:52,0.47,0.0,0.85,1
18:34:45,0:0:53,0.47,0.0,0.87,1
18:34:46,0:0:53,0.47,0.0,0.87,1
18:34:46,0:0:54,0.47,0.0,0.88,1
18:34:47,0:0:54,0.46,0.0,0.88,1
18:34:47,0:0:55,0.47,0.0,0.9,1
18:34:48,0:0:55,0.46,0.0,0.9,1
18:34:48,0:0:56,0.46,0.0,0.92,1
18:34:49,0:0:56,0.46,0.0,0.92,1
18:34:49,0:0:57,0.46,0.0,0.93,1
18:34:50,0:0:57,0.46,0.0,0.93,1
18:34:50,0:0:58,0.46,0.01,0.95,1
18:34:51,0:0:58,0.45,0.01,0.95,1
18:34:51,0:0:58,0.45,0.0,0.97,1
18:34:52,0:0:59,0.45,0.0,0.97,1
18:34:52,0:0:59,0.45,0.01,0.98,1
18:34:53,0:1:0,0.45,0.01,0.98,1
18:34:53,0:1:0,0.45,0.01,1.0,1
18:34:54,0:1:1,0.45,0.01,1.0,1
