Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Manufacturer2~String~Manufacturer2~100|Field=Manufacturer3~String~Manufacturer3~100|Field=Manufacturer4~String~Manufacturer4~100|Field=PartNumber~String~PartNumber~100|Field=PartNumber2~String~PartNumber2~100|Field=PartNumber3~String~PartNumber3~100|Field=PartNumber4~String~PartNumber4~71|Field=Quantity~Integer~Quantity~100|Field=SourceLibraryName~String~SourceLibraryName~77|Field=Manufacturer~String~Manufacturer~97|Field=Address1~String~Address1~100|Field=Address2~String~Address2~100|Field=Address3~String~Address3~100|Field=Address4~String~Address4~100|Field=CompanyName~String~CompanyName~100|Field=CurrentDate~String~CurrentDate~100|Field=CurrentTime~String~CurrentTime~100|Field=Date~String~Date~100|Field=Project~String~Project~100|Field=ProjectName~String~ProjectName~100|Field=Published~String~Published~100|Field=Publisher~String~Publisher~100|Field=Revision~String~Revision~100|Field=Status~String~Status~100|Field=Value~String~Value~100|Field=Voltage~String~Voltage~100|Field=Watts~String~Watts~100|Field=Approved~String~Approved~100|Field=ApprovedBy~String~ApprovedBy~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~STN1110_RN-42.PrjPCB|ReportField=ProjectFullPath~C:\projects\obdii\trunk\bluetooth_designs\STN1110_RN-42\Rev. 2\Releases\Release 1.0\Source\STN1110_RN-42.PrjPCB|ReportField=Title~BOM_Production For Variant [Default Build] of Project [STN1110_RN-42.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~30|ReportField=ReportTime~11:48:49 PM|ReportField=ReportDate~8/31/2011|ReportField=ReportDateTime~8/31/2011 11:48:49 PM|ReportField=OutputName~BOM_Production|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~Default Build|ReportField=Number~|ReportField=Project~STN1110 RN-42 Bluetooth OBD-II Adapter|ReportField=Revision~2|ReportField=Title~STN1110 RN-42|ReportField=Address1~Designed and|ReportField=Address2~Produced in NY|ReportField=Address3~USA|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~8/31/2011|ReportField=CurrentTime~11:48:48 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\projects\obdii\trunk\bluetooth_designs\STN1110_RN-42\Rev. 2\Releases\Release 1.0\Source\Dependencies\CC_BY_3.0_License.SchDoc|ReportField=DocumentName~CC_BY_3.0_License.SchDoc|ReportField=DocumentNumber~2|ReportField=DrawnBy~AHonecker|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~8/25/2011|ReportField=Organization~AH Design|ReportField=ProjectName~STN1110_RN-42.PrjPCB|ReportField=Rule~|ReportField=SheetNumber~2|ReportField=SheetTotal~2|ReportField=Time~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~STN1110_RN-42.PrjPCB|ReportField=DataSourceFullPath~C:\projects\obdii\trunk\bluetooth_designs\STN1110_RN-42\Rev. 2\Releases\Release 1.0\Source\STN1110_RN-42.PrjPCB
STN1110|ELM327 Improved Replacement; Multiprotocol OBDII Scanner|U3|SOIC127P1030X264-28N|STN1110_SOIC||||STN1110||||1|Andy_Parts.IntLib|ScanTool.net|Designed and|Produced in NY|USA|||8/31/2011|11:48:48 PM||C:\projects\obdii\trunk\bluetooth_designs\STN1110_RN-42\Rev. 2\Releases\Release 1.0\Source\STN1110_RN-42.PrjPCB|STN1110_RN-42.PrjPCB|||1||||||
TMS-107-02-G-S|7 pin through hole micro header, 50mil pitch|J2, J3|Samtec_TMS-107-02-G-S|Samtec_TMS-107-02-G-S||||TMS-107-02-G-S||||2|Andy_Parts.IntLib|Samtec|Designed and|Produced in NY|USA|||8/31/2011|11:48:48 PM||C:\projects\obdii\trunk\bluetooth_designs\STN1110_RN-42\Rev. 2\Releases\Release 1.0\Source\STN1110_RN-42.PrjPCB|STN1110_RN-42.PrjPCB|||1||||||
RN-42|Roving Networks Bluetooth Serial Module|U1|RN-42|RN-42||||RN-42||||1|Andy_Parts.SchLib|Roving Networks|Designed and|Produced in NY|USA|||8/31/2011|11:48:48 PM||C:\projects\obdii\trunk\bluetooth_designs\STN1110_RN-42\Rev. 2\Releases\Release 1.0\Source\STN1110_RN-42.PrjPCB|STN1110_RN-42.PrjPCB|||1||||||
1.00K|1.00K, Gen Purp Chip, R0603 0.1W 1%|R8, R14, R15, R16, R17, R23|R0603|1.00K,R0603,1%|Koa Speer Electronics Inc, Vishay/Dale|KOA/Speer, Koa Speer Electronics Inc|ROHM, Rohm Co Ltd|ERJ3EKF1001V, RK73H1JTTD1001F|CRCW06031K00FKED|RK73H1JTTD1001F|MCR03EZPFX1001|6|VanteonStd.DbLib|Panasonic|Designed and|Produced in NY|USA|||8/31/2011|11:48:48 PM||C:\projects\obdii\trunk\bluetooth_designs\STN1110_RN-42\Rev. 2\Releases\Release 1.0\Source\STN1110_RN-42.PrjPCB|STN1110_RN-42.PrjPCB|1/5/2011 3:08:25 PM, 7/16/2009|AltiumDBManager1.1, AltiumDBManager1.4-MWyman|1|Active|1.00K|75|0.1W|Yes|
10.0|10.0, Gen Purp Chip, R0603 0.1W 1%|R30|R0603|10.0,R0603,1%|Vishay/Dale|KOA/Speer|ROHM|ERJ3EKF10R0V|CRCW060310R0FKED|RK73H1JTTD10R0F|MCR03EZPFX10R0|1|VanteonStd.DbLib|Panasonic|Designed and|Produced in NY|USA|||8/31/2011|11:48:48 PM||C:\projects\obdii\trunk\bluetooth_designs\STN1110_RN-42\Rev. 2\Releases\Release 1.0\Source\STN1110_RN-42.PrjPCB|STN1110_RN-42.PrjPCB|7/16/2009|AltiumDBManager1.1|1||10.0|75|0.1W||
10.0K|10.0K, Gen Purp Chip, R0603 0.1W 1%|R1, R2, R3, R4, R5, R12|R0603|10.0K,R0603,1%|Vishay/Dale|KOA/Speer|ROHM|ERJ3EKF1002V|CRCW060310K0FKED|RK73H1JTTD1002F|MCR03EZPFX1002|6|VanteonStd.DbLib|Panasonic|Designed and|Produced in NY|USA|||8/31/2011|11:48:48 PM||C:\projects\obdii\trunk\bluetooth_designs\STN1110_RN-42\Rev. 2\Releases\Release 1.0\Source\STN1110_RN-42.PrjPCB|STN1110_RN-42.PrjPCB|7/16/2009|AltiumDBManager1.1|1||10.0K|75|0.1W||
APA1606SECK|LED 1.6X0.6MM 601NM Orange Right-Angle SMD|D3, D4, D5, D6, D7|KINGBRIGHT_APA1606SECK|KINGBRIGHT_APA1606SECK||||APA1606SECK||||5|AndyHoneckerNewComp.IntLib|Kingbright Corp.|Designed and|Produced in NY|USA|||8/31/2011|11:48:48 PM||C:\projects\obdii\trunk\bluetooth_designs\STN1110_RN-42\Rev. 2\Releases\Release 1.0\Source\STN1110_RN-42.PrjPCB|STN1110_RN-42.PrjPCB|1/18/2010|Vanteon - AHonecker|1|Active|2.1V|||No|
10uF|10uF 6.3V, in a CC0805, X5R ,+/-20%,LF|C13|CC0805|10uF,6.3V,CC0805,X5R,+/-20%|Cal-Chip Electronics|Yageo Corp|-|C0805C106M9PAC|||-|1|VanteonStd.DbLib|Kemet Electronics Corp|Designed and|Produced in NY|USA|||8/31/2011|11:48:48 PM||C:\projects\obdii\trunk\bluetooth_designs\STN1110_RN-42\Rev. 2\Releases\Release 1.0\Source\STN1110_RN-42.PrjPCB|STN1110_RN-42.PrjPCB|1/5/2011 12:04:51 PM|AltiumDBManager1.4-MWyman|1|Active|10uF|6.3||Yes|
33pF|33pF 16V, in a CC0603, COG ,+/-1%,LF|C10, C11|CC0603|33pF,16V,CC0603,COG,+/-1%|-|-|-|C0603C330F4GAC|-|-|-|2|VanteonStd.DbLib|Kemet Electronics Corp|Designed and|Produced in NY|USA|||8/31/2011|11:48:48 PM||C:\projects\obdii\trunk\bluetooth_designs\STN1110_RN-42\Rev. 2\Releases\Release 1.0\Source\STN1110_RN-42.PrjPCB|STN1110_RN-42.PrjPCB|1/5/2011 12:10:52 PM|AltiumDBManager1.4-MWyman|1|Active|33pF|16||Yes|
0.1uF|0.1uF 50V, in a CC0603, X7R ,+/-20%,LF|C4, C5, C14, C15|CC0603|0.1uF,50V,CC0603,X7R,+/-20%|CAL-CHIP|-|-|C0603C104M5RAC|GMC10X7R10450NT-LF|||4|VanteonStd.DbLib|Kemet|Designed and|Produced in NY|USA|||8/31/2011|11:48:48 PM||C:\projects\obdii\trunk\bluetooth_designs\STN1110_RN-42\Rev. 2\Releases\Release 1.0\Source\STN1110_RN-42.PrjPCB|STN1110_RN-42.PrjPCB|7/18/2007|AltiumdBManager|1||0.1uF|50||Pending|
